docid,c0search_terms,c1surah_no,c2ayah_no
60,"al mumtahanah, al mumtahanah, الممتحنة, الممتحنة, mumtahinah, mumtahina, الممتحنة",60,1
61,"الصف",61,1
62,"juma, jumuah, jummah, jumah, al jummah, الجمعة",62,1
63,"المنافقون",63,1
64,"التغابن",64,1
65,"al thalaq, at thalaq, الطلاق, الطلاق, thalak, talak, thalaq, at talaq, الطلاق",65,1
66,"التحريم",66,1
67,"mulk, mulk, الْمُلْكِ, مُلْكَ, مُلْكِ, مُلْك, الْمُلْك, سوره الملك, سوره الملك, سوره ملك, سورة الملك, سورة مُلْك, سورة مُلْك, মুলক, مُلْك, মূলক, مُلْك, al mulk, Al mulk, mulk, mulk, المللك, almulk, sura mulk, الملك",67,1
68,"al qalam, al qalam, القلم, القلم, qalam, qalm, القلم",68,1
69,"al haqqah, al haqqah, الحاقة, الحاقة, haqqah, hakka, hakkah, haqqa, haqa, الحاقة
",69,1
70,"maarij, المعارج",70,1
71,"نوح",71,1
72,"al jinn, al jin, الجن, الجن, aljin, jinni, jinns, jiin, jini, Jin, Al Jinn, الجن",72,1
73,"muzammil, muzamil, المزمل, المزمل, muzzammil, muzammil, mujammil, Muzammil, muzamil, al muzammil, muzamil, muzzamil, المزمل",73,1
74,"al mudathir, al mudathir, المُدَّثِّر, المُدَّثِّر, muddassir, mudasir, mudatsir, Mudathir, المدثر",74,1
75,"القيامة",75,1
76,"الانسان, insan, insaan, اﻹنسان",76,1
77,"al mursalat, المرسلات, mursalat, mursalaat, المرسلات",77,1
78,"an naba, annaba, an naba, النبأ, النبأ, النبا, النبا, nabaa, anaba, Naba, An Naba, surah naba, النبأ",78,1
79,"al naziat, an naziat, an nazi'at, النازعات, النازعات, naziya, naziath, naziaat, an najiat, nazi at, النازعات",79,1
80,"عبس",80,1
81,"al takwir, at takwir, التكوير, التكوير, التكوير",81,1
82,"al infitar, al infitar, الإنفطار, الإنفطار, infitaar, infithar, infitar, infitaar, الانفطار",82,1
83,"المطففين",83,1
84,"الانشقاق",84,1
85,"al buruj, al buruj, البروج, البروج, buruj, burooj, buruuj, burug, البروج",85,1
86,"at thariq, at thariq, الطّارِق, الطّارِق, at tariq, tarik, tariq, at tariq, at thariq, at thariq, الطّارِق, الطّارِق
, الطارق",86,1
87,"al 'ala, الاعلى, 'ala, a'la, al sabi, السبّئ, sabi, اﻷعلى",87,1
88,"الغاشية",88,1
89,"fajar, fazar, الفجر",89,1
90,"خَلَقۡنَا, bald, al balad, البلد",90,1
91,"al shams, as shams, الشمس, الشمس, shams, asy syams, ash shams, ash shams, shamsi, الشمس",91,1
92,"al lail, al lail, الليل, الليل, allail, lail, al lail, الليل",92,1
93,"duha, ad duha, ad dhuha, ad-duha, الضحي, الضحى, الضحى, الضحي, adduha, waduha, wad duha, ad dhua, duhha, duhaa, Ad Duha, Ad-Duha, dua, dua, duah, dua, doha, الضحى",93,1
94,"al inshirah, al insyirah, al insyiroh, al insyira, الانشراح, الانشراح, الانشراح, الانشراح, insyirah, insirah, insyiroh, Insyirah, al insyirah, inshirah, insyira, inşirah, inshirah, insyiroh, insyira, ash sharh, as sharh, الشرح",94,1
95,"at tin, at tin, التين, التين, attin, theen, tiin, tin, at-tin, التين",95,1
96,"al 'alaq, al alaq, العلق, العلق, , al 'alaq, العلق, 'alaq, alaq, iqra, العلق",96,1
97,"al qadr, al qadr, القدر, القدر, القدر",97,1
98,"al bayinah, al bayinah, al bayyina, البينة, البينة, البينة, bayinna, bayinnah, bayinah, bayinah, البينة",98,1
99,"az zalzalah, al zalzalah, الزلزلة, الزلزلة, az zalzalah, zilzala, zilzalah, Zilzal, al Zalzalah, zilzala, الزلزلة",99,1
100,"العاديات",100,1
101,"al qariah, al qoriah, الْقَارِعَةُ, الْقَارِعَةُ, الْقَارِعَة, الْقَارِعَة, qaria, qariah, qoriyah, Qariah, al Qoriah, القارعة",101,1
102,"al takasur, al takatsur, التكاثر, التكاثر, at takatsur, attakasur, takassur, thakasur, তাকাছুর, التكاثر",102,1
103,"al asr, al asr, العصر, العصر, asr, العصر",103,1
