id,famous_name,born_on,died_on,lived_in,nick_name
7105,"Ubaid bin Hna bin Mua'wiya Abu","","",Hijaz,""
7106,"Ubaid al-Jny Wq'","","",Hijaz,""
7107,"Ubayy bin Umayya bin Hrthan bin al-'Askr","","",Hijaz,""
7108,"Ubaid (no identity)","","",Hijaz,""
7110,"Ubayy bin Shryq","","",Hijaz,""
7111,"Ubayy bin Ajlan al-Bahly Akhw Aby","","",Hijaz,""
7112,"Ubayy bin al-Qshb al-Azdy","","",Hijaz,""
7113,"Ubayy bin K'ab bin Abd Thwr","","",Hijaz,""
7114,"Abyr Bmwhd'h Msghra bin Yazid bin Abd","","",Hijaz,""
7115,"Ubaid bin Hna","","",Hijaz,""
7116,"Ubayy bin Ashym al-Nhshly Syd biny","","",Hijaz,""
7117,"Aban al-Bdy Frq bin Mnd'h Bynh","","",Hijaz,""
7118,"Abjr al-Mzny Akhrjh bin Mnd'h Brwayh","","",Hijaz,""
7119,"Ubayy bin Lba Awrd'h bin Qan'","","",Hijaz,""
7120,"Athwb Bwzn al-Dhy Qblh W'aakhrh Mwhd'h","","",Hijaz,""
7121,"Athylh al-Khza'y","","",Hijaz,""
7122,"Ajmd bin Ajyan Bjym Wmthnah Thtanyh","","",Hijaz,""
7123,"Ahmr bin Slym Wqyl Slym bin Ahmr","","",Hijaz,""
7124,"Ahmr bin Swa'a bin Ady bin Mrh","","",Hijaz,""
7125,"Ahmr Abu Asyb Mshhwr Bknyt'h Wwq'","","",Hijaz,""
7126,"Ahmr bin Qtn al-Hmdany Shykh Shhd","","",Hijaz,""
7127,"Ahmr bin Mazn bin Aws bin al-Nabghh","","",Hijaz,""
7128,"Ahmr bin Mua'wiya bin Slym bin L'ay","","",Hijaz,""
7129,"Ahmr Mwla Umm Salmah Qyl","","",Hijaz,""
7130,"Ahyhh Bmhmltyn Msghra bin al-Jlah Bdm","","",Hijaz,""
7131,"Ad'hm bin Hzrh al-Lkhmy al-Rashidy","","",Hijaz,""
7132,"Arbd bin Jbyr Wqyl bin Hamza","","",Hijaz,""
7133,"Arbd bin Mkhshy Ykna Abi Mkhshy","","",Hijaz,""
7134,"Arbd Khadm Rswl al-Lh Sla al-Lh","","",Hijaz,""
7135,"Artah bin al-Harith","","",Hijaz,""
7136,"Artah bin K'ab bin Shrahyl bin K'ab","","",Hijaz,""
7137,"Azhar bin Khmys'h","","",Hijaz,""
7138,"Azhar bin Mnqr","","",Hijaz,""
7139,"Usamah al-Hnfy","","",Hijaz,""
7140,"Asad bin Asyd bin Abi Anas","","",Hijaz,""
7141,"Asad bin Khwyld","","",Hijaz,""
7142,"Asad bin Khzymh","","",Hijaz,""
7143,"Asad bin Harithh al-Klby Thm al-Lymy","","",Hijaz,""
7144,"Asad bin 'Abdullah","","",Hijaz,""
7145,"Asad bin K'ab al-Qrzy","","",Hijaz,""
7146,"Asad Wyqal Asyd Baltsghyr bin Y'mr","","",Hijaz,""
7147,"Asad Mwla Rswl al-Lh Sla al-Lh","","",Hijaz,""
7148,"As'd bin Harithh bin Lwdhan bin Abd","","",Hijaz,""
7149,"As'd bin Harithh al-Ansari al-Sa'dy","","",Medina,""
7150,"As'd bin Hram al-Khzrjy Ahd Qtlh","","",Hijaz,""
7151,"As'd al-Khyr Skn al-Sham","","",Hijaz,""
7152,"As'd bin Zrarh","","",Hijaz,""
7153,"As'd bin Zayd bin al-Fak'h Y'aty","","",Hijaz,""
7154,"As'd bin Salamh al-'Ashhly al-Ansari","","",Medina,""
7155,"As'd bin 'Abdullah bin Malik","","",Hijaz,""
7156,"As'd bin Yrbw' al-Ansari al-Khzrjy al-Sa","","",Medina,""
7157,"As'd bin Atyh bin Ubaid bin Bjalh","","",Hijaz,""
7158,"Aslm bin Jbyrh bin Husayn bin Jbyrh","","",Hijaz,""
7159,"Aslm bin Husayn Mda","","",Hijaz,""
7160,"Aslm bin al-Harith bin Abd al-Mtlb","","",Hijaz,""
7161,"Aslm Khadm Rswl al-Lh Sla al-Lh","","",Hijaz,""
7162,"Aslm Mwla 'Umar","","",Hijaz,""
7163,"Aslm al-Ra'y al-'Aswad","","",Hijaz,""
7164,"Aslm bin 'Umayrh","","",Hijaz,""
7165,"Aslm al-Ta'iy","","",Hijaz,""
7166,"Asma'a bin Rban bin Mua'wiya bin Malik","","",Hijaz,""
7167,"Asmr bin Ubaid Y'aty Qryba","","",Hijaz,""
7168,"Asmr bin Sa'd bin Hlwat bin al-Mazny","","",Hijaz,""
7169,"Asyd bin Abi Anas bin Znym","","",Hijaz,""
7170,"Asyd bin Jaryh bin Asyd bin Abd","","",Hijaz,""
7171,"Asyd bin S'yh","","",Hijaz,""
7172,"Asyd al-Mzny","","",Hijaz,""
7173,"Asyd bin al-Akhns bin Shryq al-Thqfy","","",Hijaz,""
7174,"Asyd bin Th'albah al-Ansari","","",Medina,""
7175,"Asyd bin Abi al-Jd'a'a","","",Hijaz,""
7176,"Asyd bin S'yh al-Isra'iyly Rjh bin Makwl","","",Hijaz,""
7177,"Asyd bin K'ab al-Qrzy","","",Hijaz,""
7178,"Asyd bin Yrbw' bin al-Bdy bin 'Amir","","",Hijaz,""
7179,"Asyd bin Y'mr al-Khza'y al-Mlqb Baln'yt","","",Hijaz,""
7180,"Asyr (no identity) Aakhrh Ra'a","","",Hijaz,""
7181,"Asyr al-Kndy (no identity)","","",Hijaz,""
7182,"Asyr bin 'Amr bin Ysar al-Tjyby","","",Hijaz,""
7183,"Ashrs bin Ghadrh al-Kndy","","",Hijaz,""
7184,"Ashrf Ahd al-Thmanyh al-Dhyn Qdmwa","","",Hijaz,""
7185,"Ashrf (no identity)","","",Hijaz,""
7186,"Ashym Bwzn Ahmed al-Dbaby Bksr al-M'ajmh","","",Hijaz,""
7187,"Asbgh bin Ghyath Balm'jmh Walmthlth Aakh","","",Hijaz,""
7188,"Asrm al-Shqry","","",Hijaz,""
7189,"Asyl Baltsghyr Wallam bin Sufyan Wqyl","","",Hijaz,""
7190,"A'yn bin Dby'h bin Najyh bin Aqal","","",Hijaz,""
7191,"Akal bin al-N'uman al-Ansari al-Mazny","","",Medina,""
7192,"Akbr al-Harithy Ghyrh al-Nby Sla al-Lh","","",Hijaz,""
7193,"Akydr Dwmh Akhtlf Fyh Wal'akthr Ala","","",Hijaz,""
7194,"Akymh bin ''Aabadh al-Lythy Wyqal al-Zhr","","",Hijaz,""
7195,"Akynh Jd Rzq al-Lh bin Abd","","",Hijaz,""
7196,"Amanah Balnwn bin Qays bin Shyban","","",Hijaz,""
7197,"Amd bin Abd al-Hdrmy","","",Hijaz,""
7198,"Umayya bin As'd bin 'Abdullah","","",Hijaz,""
7199,"Umayya bin al-'Askr Balsyn al-Mhmlh Fyma","","",Hijaz,""
7200,"Umayya bin Umayya al-Dhbyany","","",Hijaz,""
7201,"Umayya bin Th'albah","","",Hijaz,""
7202,"Umayya bin Dfarh","","",Hijaz,""
7203,"Umayya bin Abi 'Ubaid'h bin Hmam","","",Hijaz,""
7204,"Umayya bin Awf al-Knany Abu Thmamh","","",Hijaz,""
7205,"Anas bin Abi Anas Wyqal bin 'Amr","","",Hijaz,""
7206,"Anas bin Aws bin Atyk bin 'Amr","","",Hijaz,""
7207,"Anas bin Aws al-Ansari","","",Medina,""
7208,"Anas bin Znym al-Knany","","",Hijaz,""
7209,"Anas bin Srmh Y'aty","","",Hijaz,""
7210,"Anas bin 'Abbas bin Anas bin 'Amir","","",Hijaz,""
7211,"Anas bin Abd'h bin Jabir bin Wahub","","",Hijaz,""
7212,"Anas bin Qtad'h bin Rabi'yah al-Ansari","","",Medina,""
7213,"Anas bin Qtad'h al-Bahly Y'aty","","",Hijaz,""
7214,"Anas bin Qays bin al-Mntfq al-Qyly","","",Hijaz,""
7215,"Anas bin Mkhashn","","",Hijaz,""
7216,"Anas bin Hzlh","","",Hijaz,""
7217,"Anas Mwla al-Nby Sla al-Lh 'Alih","","",Hijaz,""
7218,"Anas al-Hjny Wald Mua'dh","","",Hijaz,""
7219,"Anh al-Mkhnth","","",Hijaz,""
7220,"Anis bin Atyk bin 'Amir al-Ansari","","",Medina,""
7221,"Anis bin Qtad'h al-Bahly Bsry","","",Hijaz,""
7222,"Anis bin Mua'dh bin Qays al-Ansari","","",Medina,""
7223,"Anis al-'Aslmy Mdhkwr","","",Hijaz,""
7224,"Anis al-Ansari","","",Medina,""
7225,"Anyf bin Jshm bin Awdh al-Lh","","",Hijaz,""
7226,"Anyf bin Wathlh","","",Hijaz,""
7227,"Ahban bin al-Akw' bin Ayadh bin Rabi'yah","","",Hijaz,""
7228,"Ahban bin al-Akw' Umm Salmah al-'Aslmy","","",Hijaz,""
7229,"Ahban bin 'Amr bin al-Akw' Sbq","","",Hijaz,""
7230,"Ahban bin Ayadh Sbq","","",Hijaz,""
7231,"Aws bin al-A'wr bin Jwshn bin Mas'ud","","",Hijaz,""
7232,"Aws bin Aqrm al-Ansari","","",Medina,""
7233,"Aws bin Abi Aws al-Thqfy Frq","","",Hijaz,""
7234,"Aws bin Thabit al-Ansari","","",Medina,""
7235,"Aws bin Thabit al-Ansari","","",Medina,""
7236,"Aws bin Th'albah bin Zfr bin 'Amr","","",Hijaz,""
7237,"Aws bin Th'albah al-Ansari","","",Medina,""
7238,"Aws bin Jhysh al-Nkh'y","","",Hijaz,""
7239,"Aws bin Harithh al-Ta'iy","","",Hijaz,""
7240,"Aws bin Habib al-Ansari Qtl Bkhybr","","",Medina,""
7241,"Aws bin Hwshb al-Ansari","","",Medina,""
7242,"Aws bin Khalid bin Yazid bin Mnhb","","",Hijaz,""
7243,"Aws bin Khdam al-Ansari","","",Medina,""
7244,"Aws bin S'ad bin Abi Srh","","",Hijaz,""
7245,"Aws bin S'ad Abu Zayd al-Ansari","","",Medina,""
7246,"Aws bin Salamh bin Wqsh Akhw","","",Hijaz,""
7247,"Aws bin Sm'an al-Ansari","","",Medina,""
7248,"Aws bin Suwayd al-Ansari","","",Medina,""
7249,"Aws bin Aabd al-Ansari Qtl Ywm","","",Medina,""
7250,"Aws bin 'Abdullah bin Hjr","","",Hijaz,""
7251,"Aws bin Atyk al-Ansari","","",Medina,""
7252,"Aws bin 'Amr al-Ansari al-Mazny","","",Medina,""
7253,"Aws bin 'Amr bin Abd al-Qary","","",Hijaz,""
7254,"Aws bin Qtad'h al-Ansari","","",Medina,""
7255,"Aws bin Malik al-'Ashj'y","","",Hijaz,""
7256,"Aws bin Malik al-Ansari","","",Medina,""
7257,"Aws bin Malik bin Nmt al-Hmdany","","",Hijaz,""
7258,"Aws bin Mghra'a al-Ansari","","",Medina,""
7259,"Aws bin Yazid bin Asrm","","",Hijaz,""
7260,"Aws al-Ansari Afrd'h al-Tbrany Amn","","",Medina,""
7261,"Aws al-Ansari","","",Medina,""
7262,"Aws al-Mr'iy Balra'a B'd'ha Hamza","","",Hijaz,""
7263,"Awfa bin Arfth","","",Hijaz,""
7264,"Awfa bin Mwlh al-Tmymy al-Nbry","","",Hijaz,""
7265,"Awys bin al-Samt","","",Hijaz,""
7266,"Aysr Lqb Abi Lyla al-Ansari Wald","","",Medina,""
7267,"Ayf' bin Abd Klal al-Hmyry","","",Hijaz,""
7268,"Ayoub bin Mkrz","","",Hijaz,""
7269,"Ahmed bin Ja'far bin Abi Talb","","",Hijaz,""
7270,"Ahmr bin Slym Wyqal Slym bin Ahmr","","",Hijaz,""
7271,"Azhar bin Mkml bin Awf bin Abd","","",Hijaz,""
7272,"Usamah bin 'Abdullah bin Hameed","","",Hijaz,""
7273,"Asyr bin 'Amr Y'aty","","",Hijaz,""
7274,"Adym Baltsghyr al-Tghlby Wyqal Hdym Y'at","","",Hijaz,""
7275,"Ad'hm bin Mhrz al-Bahly Abu Malik","","",Hijaz,""
7276,"Arbd bin 'Abdullah al-Bjly Adrk","","",Hijaz,""
7277,"Artah bin S'hyh Ws'hyh Amh Why","","",Hijaz,""
7278,"Artah bin K'ab bin Qays bin Habib","","",Hijaz,""
7279,"Artban al-Mzny Mwlahm Jd 'Abdullah","","",Hijaz,""
7280,"Arma Wyqal Arha Wyqal Aryha bin Ashmh","","",Hijaz,""
7281,"Azad Mrd bin Hrmz al-Farsy","","",Hijaz,""
7282,"Azhar bin Syhan bin Artah bin Syhan","","",Hijaz,""
7283,"Azhar bin Mrwan","","",Hijaz,""
7284,"Usamah bin al-Harith al-Hdhly Ahd biny","","",Hijaz,""
7285,"Usamah bin Qtad'h Abu Sa'd'h al-Bsy","","",Hijaz,""
7286,"Asad 'Aabad Ahd Mlwk al-Bhryn","","",Hijaz,""
7287,"Asma'a bin Khalid bin Awf bin 'Amr","","",Hijaz,""
7288,"Asykht Mrzban al-Bhryn","","",Hijaz,""
7289,"Ashrf bin Hmyry bin Dhhl bin Zayd","","",Hijaz,""
7290,"Ash'th bin Abdalhjr bin Awf bin al-Ahws","","",Hijaz,""
7291,"Ash'th bin Mynas al-Skwny","","",Hijaz,""
7292,"Ashbh Bmwhd'h","","",Hijaz,""
7293,"As'r bin Qays bin al-Harith bin Wqas","","",Hijaz,""
7294,"Askhmh Bkha'a M'ajmh","","",Hijaz,""
7295,"Asm' bin Mzhr bin Ryah bin Abd","","",Hijaz,""
7296,"At bin Abi At Ahd biny","","",Hijaz,""
7297,"A'bd bin Fdky Akhw Abi Lyla","","",Hijaz,""
7298,"Aktl bin Shmakh bin Zayd bin Shdad","","",Hijaz,""
7299,"Akthm bin Syfy bin Rbah bin al-Harith","","",Hijaz,""
7300,"Umayya bin Abi Aa'id al-Hdhly","","",Hijaz,""
7301,"Anas bin Hdhyfh","","",Hijaz,""
7302,"Anas bin Nwas bin Syhan al-Mharby","","",Hijaz,""
7303,"Anas bin Hilal al-Nmyry","","",Hijaz,""
7304,"Anyf bin Yazid bin Fhd'h al-K'aby","","",Hijaz,""
7305,"Aws al-Qrny Y'aty","","",Hijaz,""
7306,"Aws bin Bjyr al-Ta'iy","","",Hijaz,""
7307,"Aws bin Thwyb al-Th'lby","","",Hijaz,""
7308,"Aws bin Jdhymh al-Hjymy","","",Hijaz,""
7309,"Aws bin Mghra'a al-Qry'y Mkhdrm Ykna","","",Hijaz,""
7310,"Awst bin 'Amr Wqyl bin 'Amir","","",Hijaz,""
7311,"Ahb bin Malik Astdrk'h bin al-Dbagh","","",Hijaz,""
7312,"Adhynh al-Shny Frq al-Bawrdy Bynh Wbyn","","",Hijaz,""
7313,"Arbd bin Rqysh al-'Asady Mdhkwr Fymn","","",Hijaz,""
7314,"Artah al-Ta'iy","","",Hijaz,""
7315,"Artah bin al-Mundhir al-Skwny Whm Fyh","","",Hijaz,""
7316,"Arqm al-Khza'y","","",Hijaz,""
7317,"Asad bin Rabi'yah al-Ja'fary al-Sha'r","","",Hijaz,""
7318,"Asad bin Zrarh","","",Hijaz,""
7319,"Asad al-Trky Ja'a","","",Hijaz,""
7320,"As'd bin al-Rabi'y Swabh S'ad bin al-Rab","","",Hijaz,""
7321,"As'r al-Dyly Swabh S'r Kma Sy'aty","","",Hijaz,""
7322,"Asqf Njran","","",Hijaz,""
7323,"Aslm al-Ra'y Abu Slma","","",Hijaz,""
7324,"Aslm (no identity)","","",Hijaz,""
7325,"Asyd bin Thabit Wq'","","",Hijaz,""
7326,"Asyd bin Krz al-Qsry","","",Hijaz,""
7327,"Asyd bin Malik Abu 'Umayrh","","",Hijaz,""
7328,"Asyr Baldm Aakhrh Ra'a Rjl","","",Hijaz,""
7329,"Ash'b bin Umm Hameed'h al-M'arwf Baltm'","","",Hijaz,""
7330,"Ash'th bin Balmthlthh bin Jwdan","","",Hijaz,""
7331,"Asrm Shfh B'd'hm Winma","","",Hijaz,""
7332,"A'raby Akhrjh al-Bghwy","","",Hijaz,""
7333,"Akydr Dwmh","","",Hijaz,""
7334,"Umayya bin Khwyld bin 'Abdullah","","",Hijaz,""
7335,"Umayya bin Abi al-Slt al-Thqfy al-Sha'r","","",Hijaz,""
7336,"Umayya bin S'ad al-Quraishi","","",Hijaz,""
7337,"Umayya bin 'Ali","","",Hijaz,""
7338,"Umayya bin 'Amr bin Wahub bin M'atb","","",Hijaz,""
7339,"Umayya Jd 'Amr bin 'Uthman al-Thqfy","","",Hijaz,""
7340,"Umayya bin Abi Mrthd al-Ansari","","",Medina,""
7341,"Anas bin Asyd bin Abi Anas","","",Hijaz,""
7342,"Anas bin Umm Ans","","",Hijaz,""
7343,"Anas bin 'Abdullah bin Aby","","",Hijaz,""
7344,"Anas bin Malik Rjl","","",Hijaz,""
7345,"Aws bin Awys","","",Hijaz,""
7346,"Aws bin Thabit al-Ansari Frq al-Tbrany","","",Medina,""
7347,"Aws bin Harithh bin L'am bin 'Amr","","",Hijaz,""
7348,"Aws bin Arabh Swabh Arabh bin Aws","","",Hijaz,""
7349,"Aws bin Mhjn Abu Tmym al-'Aslmy","","",Hijaz,""
7350,"Aws al-Mzny","","",Hijaz,""
7351,"Aws (no identity)","","",Hijaz,""
7352,"Ayf' bin Abdalkla'y Tab'y Sghyr Astdrk'h","","",Hijaz,""
7353,"Aymn (no identity)","","",Hijaz,""
7354,"al-Akhrm Fars Rswl al-Lh Sla al-Lh","","",Hijaz,""
7355,"al-Akhrm al-Hjymy","","",Hijaz,""
7356,"al-Akhrm bin Abi al-Wja'a al-Slmy","","",Hijaz,""
7357,"al-Akhdr bin Abi al-Akhdr al-Ansari","","",Medina,""
7358,"al-Akhns bin Shryq bin 'Amr bin Wahub","","",Hijaz,""
7359,"al-Adrs al-Jny Y'aty","","",Hijaz,""
7360,"al-Adr' Abu J'd al-Dmry Mshhwr Bknyt'h","","",Hijaz,""
7361,"al-Arqm bin Abi al-Arqm al-Zhry Wqd","","",Hijaz,""
7362,"al-Arqm bin Hfynh al-Tjyby","","",Hijaz,""
7363,"al-Arqm bin 'Abdullah bin al-Harith","","",Hijaz,""
7364,"al-Arqm al-Jny Ahd al-Jn al-Dhyn Astm'wa","","",Hijaz,""
7365,"al-Aryqt al-Bdy","","",Hijaz,""
7366,"al-Azrq bin 'Uqba Abu 'Uqba al-Thqfy","","",Hijaz,""
7367,"Azyhr Mwla S'hyl bin 'Amr","","",Hijaz,""
7368,"al-'Asf' al-Bakry Wyqal bin al-'Asf'","","",Hijaz,""
7369,"al-'Asf' al-Jrmy","","",Hijaz,""
7370,"al-'Asq' Balqaf Wald Wathlh bin al-'Asq'","","",Hijaz,""
7371,"al-'Aswad bin 'Ubaid","","",Hijaz,""
7372,"al-'Aswad bin Abi al-'Aswad al-Nhdy","","",Hijaz,""
7373,"al-'Aswad bin Abi al-Bkhtry Wasmh al-'As","","",Hijaz,""
7374,"al-'Aswad bin al-Bkhtry bin Khwyld","","",Hijaz,""
7375,"al-'Aswad bin Hazm bin Safwan bin Arar","","",Hijaz,""
7376,"al-'Aswad bin Hram Mda","","",Hijaz,""
7377,"al-'Aswad bin Khza'y al-'Aslmy Hlyf biny","","",Hijaz,""
7378,"al-'Aswad bin Khtamh al-Knany","","",Hijaz,""
7379,"al-'Aswad bin Rabi'yah bin al-'Aswad al-","","",Hijaz,""
7380,"al-'Aswad bin Rabi'yah al-Hnzly","","",Hijaz,""
7381,"al-'Aswad bin Zayd bin Th'albah bin 'Uba","","",Hijaz,""
7382,"al-'Aswad bin Salmah bin Hjr bin Wahub","","",Hijaz,""
7383,"al-'Aswad bin 'Abdullah al-Sdwsy al-Yman","","",Hijaz,""
7384,"al-'Aswad bin Abs bin Asma'a bin Wahub","","",Hijaz,""
7385,"al-'Aswad bin 'Imran al-Bakry","","",Hijaz,""
7386,"al-'Aswad bin Awf al-Zhry Akhw Abd","","",Hijaz,""
7387,"al-'Aswad bin Awym al-Sdwsy","","",Hijaz,""
7388,"al-'Aswad bin Mas'ud al-Thqfy","","",Hijaz,""
7389,"al-'Aswad bin Malik al-'Asady al-Ymany A","","",Hijaz,""
7390,"al-'Aswad bin Wahub bin Abd Mnaf","","",Hijaz,""
7391,"al-'Aswad bin Hisham bin 'Amr bin Rabi'y","","",Hijaz,""
7392,"al-'Aswad al-Dhy Ghyr al-Nby Sla al-Lh","","",Hijaz,""
7393,"Asyrh bin 'Amr bin Qays Abu","","",Hijaz,""
7394,"Asym Khatb Bha al-Nby Sla al-Lh","","",Hijaz,""
7395,"al-'Ashj al-Bdy Yqal","","",Hijaz,""
7396,"al-Ash'ath al-Ansari (no identity) Ja'a","","",Medina,""
7397,"al-'Ashym (no identity)","","",Hijaz,""
7398,"al-'Asm al-'Umary Thm al-Bka'iy","","",Hijaz,""
7399,"Asyd Bwzn Ahmed bin Salmah al-Slmy","","",Hijaz,""
7400,"Asyd bin Salmah bin Qryz bin 'Ubaid","","",Hijaz,""
7401,"al-Adbt bin Jny Wqyl Husayn bin R'l","","",Hijaz,""
7402,"al-Adbt al-Slmy Frq Abu N'ym Bynh","","",Hijaz,""
7403,"al-A'rj Asmh 'Abdullah bin Ishaq","","",Hijaz,""
7404,"al-A'rs bin 'Amr al-Yshkry","","",Hijaz,""
7405,"al-A'sha al-Mazny Wyqal al-Hrmazy Wmazn","","",Hijaz,""
7406,"al-A'wr bin Bashamh bin Ndlh bin Snan","","",Hijaz,""
7407,"al-Aghlab bin Jathm bin 'Amr","","",Hijaz,""
7408,"al-Aqr' bin Shfy al-Ky Aad'h al-Nby","","",Hijaz,""
7409,"al-Aqr' bin 'Abdullah al-Hmyry B'thh","","",Hijaz,""
7410,"al-Aqr' al-Ghfary","","",Hijaz,""
7411,"al-Aqmr al-Wda'y Wald Ala Wklthwm Qyl","","",Hijaz,""
7412,"al-Akw' al-'Aslmy Asmh Snan Y'aty","","",Hijaz,""
7413,"'Umara'a al-Qays bin al-'Asbgh al-Klby","","",Hijaz,""
7414,"'Umara'a al-Qays bin 'Abbas bin al-Mundh","","",Hijaz,""
7415,"'Umara'a al-Qays bin al-Fakhr bin al-Tma","","",Hijaz,""
7416,"Ahwd bin Ayad al-Azdy","","",Hijaz,""
7417,"Abi Ywh al-Farsy Y'aty Khbrh","","",Hijaz,""
7418,"al-Aaba'a Bwzn al-F'al bin Qays al-'Asad","","",Hijaz,""
7419,"al-Ajd' bin Malik bin Umayya al-Hmdany","","",Hijaz,""
7420,"al-Ajlh bin Wqas","","",Hijaz,""
7421,"al-Ajm bin Qays bin Mshj'h bin Mjm'","","",Hijaz,""
7422,"al-Arqm bin Abi al-Arqm al-Kla'y Adrk","","",Hijaz,""
7423,"Arkwn al-Rwmy Adrk al-Jahlyh W'aslm Ala","","",Hijaz,""
7424,"Asbq Mwla 'Umar","","",Hijaz,""
7425,"al-'Aswad bin Aqysh al-Nkh'y Wald Aby","","",Hijaz,""
7426,"al-'Aswad bin Shrahyl bin Kndy bin al-Jw","","",Hijaz,""
7427,"al-'Aswad bin 'Amir bin Awymr bin Mkhld","","",Hijaz,""
7428,"al-'Aswad bin Abd Shms bin Ady","","",Hijaz,""
7429,"al-'Aswad bin Qtbh Abu Mfzr","","",Hijaz,""
7430,"al-'Aswad bin Mghra'a bin Shrahyl bin al","","",Hijaz,""
7431,"al-'Asyf' al-Jhny Adrk al-Nby Sla al-Lh","","",Hijaz,""
7432,"al-'Ashhb bin al-Harith bin Hzlh","","",Hijaz,""
7433,"al-'Ashhb bin Rmylh","","",Hijaz,""
7434,"al-'Ashhb bin Wrd bin 'Amr bin Rabi'yah","","",Hijaz,""
7435,"al-'Asbgh bin Hjr bin S'ad al-Hmdany","","",Hijaz,""
7436,"al-'Asbgh bin 'Amr bin Th'albah bin Hasa","","",Hijaz,""
7437,"al-'Asbgh bin binat'h Sahb 'Ali Akhrj","","",Hijaz,""
7438,"al-A'wr bin al-Wrd bin Hdhyfh bin Bdr","","",Hijaz,""
7439,"al-Aghlb al-Jly al-Rajz","","",Hijaz,""
7440,"al-Aqyshr al-'Asady Asmh al-Mughira bin","","",Hijaz,""
7441,"al-Akdr bin Hmam bin 'Amir bin S'b","","",Hijaz,""
7442,"'Umaru' al-Qays bin Ady bin Aws","","",Hijaz,""
7443,"al-'Aswad bin Harithh","","",Hijaz,""
7444,"al-'Aswad (no identity)","","",Hijaz,""
7445,"al-'Aswad bin Abd al-'Asad bin Hilal","","",Hijaz,""
7446,"al-'Ashj Abu al-Dnya al-Mghrby Akhtlf","","",Hijaz,""
7447,"al-'Ashj' bin Snan","","",Hijaz,""
7448,"A'shy bin Qays bin Th'albah Y'aty","","",Hijaz,""
7449,"al-Bra'a bin 'Amr bin 'Abdur Rahman","","",Hijaz,""
7450,"al-Bra'a bin Malik","","",Hijaz,""
7451,"al-Brbyr Bmwhdtyn Bynhma Ra'a Saknh al-T","","",Hijaz,""
7452,"al-Btyn bin 'Abdullah al-Hnfy Ahd","","",Hijaz,""
7453,"al-Bda'a bin 'Asim al-Lkhmy","","",Hijaz,""
7454,"al-Bra'a bin al-J'd bin Awf","","",Hijaz,""
7455,"al-Bra'a bin Qbys'h","","",Hijaz,""
7456,"al-Tw'am Abu Dkhan","","",Hijaz,""
7457,"al-Tyhan al-Ansari Wald As'd","","",Medina,""
7458,"al-Thlb al-Nbry","","",Hijaz,""
7459,"al-Jarwd bin al-Mundhir al-Bdy","","",Hijaz,""
7460,"al-Jdh' al-Ansari","","",Medina,""
7461,"al-Jdh' al-Ansari","","",Medina,""
7462,"al-J'd bin Qays al-Mrady al-Sha'r Ahd","","",Hijaz,""
7463,"al-Jmwh al-Ansari","","",Medina,""
7464,"al-Jmwh bin 'Uthman bin Thabit bin al-Jd","","",Hijaz,""
7465,"al-Jwn bin Qtad'h bin al-A'wr bin Sa'd'h","","",Hijaz,""
7466,"al-Jwn bin Mjasr bin al-Dbyn bin Malik","","",Hijaz,""
7467,"al-Jban (no identity)","","",Hijaz,""
7468,"al-J'yd (no identity) Aznh","","",Hijaz,""
7469,"al-Jlndy Bdm Awlh Wfth al-Lam Wskwn","","",Hijaz,""
7470,"al-Jhaf bin Hkym bin 'Asim bin Sba'","","",Hijaz,""
7471,"al-Jlah Abu Khalid Astdrk'h al-Dhhby Ala","","",Hijaz,""
7472,"al-Harith bin Asad bin Abd al-Za","","",Hijaz,""
7473,"al-Harith bin Ashym Y'aty","","",Hijaz,""
7474,"al-Harith bin Anas bin Malik bin 'Ubaid","","",Hijaz,""
7475,"al-Harith bin Anis Abu 'Abdur Rahman","","",Hijaz,""
7476,"al-Harith bin Ahban Y'aty","","",Hijaz,""
7477,"al-Harith bin Aws bin Atyk bin 'Amr","","",Hijaz,""
7478,"al-Harith bin Aws bin al-M'ala bin Lwdha","","",Hijaz,""
7479,"al-Harith bin Bdl Y'aty","","",Hijaz,""
7480,"al-Harith bin al-Brsa'a","","",Hijaz,""
7481,"al-Harith bin Bilal al-Mzny","","",Hijaz,""
7482,"al-Harith bin Tby' al-R'yny","","",Hijaz,""
7483,"al-Harith bin Tmym Y'aty","","",Hijaz,""
7484,"al-Harith bin Thabit bin 'Abdullah","","",Hijaz,""
7485,"al-Harith bin al-Jnyd al-Bdy","","",Hijaz,""
7486,"al-Harith bin al-Harith al-Azdy Bskwn al","","",Hijaz,""
7487,"al-Harith bin al-Harith bin Kalada","","",Hijaz,""
7488,"al-Harith bin Abi Harithh","","",Hijaz,""
7489,"al-Harith bin al-Hbab bin al-Arqm bin Aw","","",Hijaz,""
7490,"al-Harith bin Habib bin Khzymh bin Malik","","",Hijaz,""
7491,"al-Harith bin Khalid al-Quraishi","","",Hijaz,""
7492,"al-Harith bin Khdramh al-Dby","","",Hijaz,""
7493,"al-Harith bin Rashid al-Najy","","",Hijaz,""
7494,"al-Harith bin al-Rabi'y bin Ziyad bin Su","","",Hijaz,""
7495,"al-Harith bin Zuhyr bin Aqysh al-Kly","","",Hijaz,""
7496,"al-Harith bin Zayd bin Abi Anis'h","","",Hijaz,""
7497,"al-Harith bin Zayd bin Harithh bin Mua'w","","",Hijaz,""
