id,famous_name,born_on,died_on,lived_in,nick_name
52,"Sawda bint Zam'a","~25 BH (est.)","55 AH or ~22 AH/648 CE",Makkah/Abyssinia/Medinah,""
53,"'Aisha bint Abi Bakr","9 BH/614 CE","57 AH/678 CE (17 Ramadan)",Makkah/Medina,"Umm 'Abdullah"
54,"Hafsa bint Umar","14 BH/606 CE","41 AH or 45 AH/665 CE",Makkah/Medina,""
55,"Zaynab bint Khazeemah","26 BH/597 CE","4 AH/626 CE",Makkah/Medina,"Umm al-Masaakeen"
56,"Umm Salamah","~25 BH","62 AH/680 CE or 59 AH",Makkah/Medina,"Umm Salamah"
57,"Zaynab bint Jahsh","30 BH/593 CE","20 AH/646 CE",Makkah/Medina,""
58,"Juwayriya bint al-Harith","~12 BH/608 CE","50-56 AH",Medinah,""
59,"Umm Habibah bint Abi Sufyan","34 BH/ 589 CE","42-44 AH/666 CE",Makkah/Abyssinia/Medina,"Umm Habiba"
60,"Safiyya bint Huyayy","13 BH/610 CE","36/52 AH/670 CE",Medinah,""
61,"Maymuna bint al-Harith","20 BH/594 CE","61 AH or 38 AH",Makkah/Medina,""
62,"Maria al-Qibtiyya","","15-16 AH/637 CE",Egypt/Medinah,""
63,"Fatima bint Muhammad","16 BH/605 CE","11 AH/632 CE",Makkah/Medina,"Umm Abiha,Az-Zuhra,Umm alHasan"
64,"Liala bint Abi Hathmah","","",Makkah/Abyssinia/Medinah,"Umm 'Abdullah"
65,"Sehlah bint Suhayl","","",Makkah/Abyssinia/Medinah,""
66,al-Khansa,"","24 AH /646 CE",Medina,""
67,al-Nahdiya,"","","Makkah, Medinah",""
68,"Arwa bint al-Harith","","",Makkah/Medina,""
69,"Asma bint 'Umays","","~40 AH",Makkah/Medina/Abyssinia,""
70,"Asma' bint Abi Bakr","27 BH","73 AH/692 CE",Makkah/Medina,"That An-Nataqeen"
71,"Umm Atiyyah Ansariyah","","","Medina, Basra","Umm Atiyyah"
72,"Hamnah bint Jahsh","","",Makkah/Medina,""
73,"Hind bint Awf","","",Makkah/Medina,""
74,"Hind bint 'Utba b. Rabi'a b. 'Abd Shams","","~30 AH",Makkah/Medinah,""
75,"Ruqayqa bint Abi Sayfi bin Hashim","","",Makkah/Medina,""
76,"Khawlah bint Hakim","","",Makkah/Medina,"Umm Sherk, Umm Hakim"
77,"Fatima bint Asad","65 BH (est.)","4 AH/626 CE",Makkah/Medina,""
78,"Fatima bint al-Khattab","","",Makkah/Medina,"Umm Jamil"
79,"Umm 'Ammarah Nasaybah","","",Medina/Basra,"Umm 'Ammarah"
80,"Najiyah/'Atika/Fakhta bint al-Walid","","",Makkah/Medina,""
81,"Qaraybah bint Abi Umayyah al-Sugra","","",Makkah/Medina,""
82,"Faree'ah bint Malik","","",Medina,""
83,"Umm Sulaym bint Milhan","","",Medinah,"Umm Sulaym"
84,"Asma' bint Yazid bin al-Sakan","","~63 AH/683 CE",Medina/Damascus,"Umm 'Amir, Umm Salamah"
85,"Safiyya bint ‘Abd al-Muttalib","~50 BH (est.)","18 AH/640 CE",Makkah/Medina,""
86,"Salma bint 'Umays","","",Makkah/Medina,""
87,"Umm al-Darda","","34 AH/655 CE",Medina/Syria,"Umm al-Darda"
88,Sirin,"","",Egypt/Medinah,"Umm 'Abdur Rahman"
89,"Sumayyah bint Khayyat","","7 BH/615 CE",Makkah,"Umm 'Ammar"
90,Thuwaybah,"","7 AH",Makkah/Medina,""
91,"Umm Ruman","37 BH (est.)","~6 AH/628 CE","Sarat, Makkah, Madina","Umm Ruman"
92,"Umamah bint Zainab","","66 AH",Makkah/Medina/Kufa,""
93,"Umm Hakim","","",Makkah/Medina/Syria,"Umm Hakim"
94,"Umm Kulthum bint Muhammad","","9 AH/631 CE",Makkah/Medinah,""
95,"Umm Kulthum bint 'Uqba","","",Makkah/Medina,""
96,"Asma bint Sa'id bin Zayd","","",Makkah/Medina/Kufa,""
97,"Zaynab bint Muhammad","25 BH/596 CE","8 AH/629 CE",Makkah/Medina,""
98,"Zaynab bint 'Ali bin Abi Talib","5 AH","63 AH/ 682 CE",Medinah/Kufa,""
99,"Umm Kulthum bint 'Ali bin Abi Talib","7 AH","",Medinah,""
100,"al-'Abbas ibn 'Abd al-Muttalib","57 BH/566 CE (approx)","32 AH/653 CE",Makkah/Medina,"Abu al-Fadl"
101,"Abu Salamah","","4 AH/625 CE",Makkah/Abyssinia/Medinah,"Abu Salamah"
102,"Ruqayyah bint Muhammad","25 BH/598 CE","2 AH/624 CE",Makkah/Abyssinia/Medinah,""
103,"'Abdullah bin Saalam","","43 AH/663 CE",Medina,"Abu Yusuf"
104,"Hadrad bin Abi Hadrad al-Aslami","","",Medina,"Abu Kharash"
105,"'Abdullah bin Abi Hadrad al-Aslami","","~71 AH",Medina,"Abu Muhammad"
106,"'Abdullah ibn al-Zubayr","1 AH/624 CE","73 AH",Medinah/Makkah,"Abu Bakr,Abu Khubayb"
107,"'Abdur Rahman bin Abi Bakr","","~58 AH/677 CE",Makkah/Medina,"Abu Muhammad, Abu 'Abdullah"
108,"'Abdullah ibn Ja'far","~1 AH","~80 AH/699 CE","Abyssinia, Medina, Kufa","Abu Jafar"
109,"Bukayr bin Shaddakh al-Laithi","","",Makkah/Medina,""
110,"'Abdullah bin Abi Bakr","","~12 AH/633 CE",Makkah/Medina,""
111,"Abu Dujana, Simak bin Aus bin Kharasha","","12 AH/634 CE",Medinah,"Abu Dujana"
112,"al-Mundhir bin 'Amr b. Khunays","","4 AH/626 CE",Medinah,""
113,"Abu Usayd Malik bin Rabi'a","","60 AH",Medinah/Basra,"Abu Usayd"
114,"Zayd ibn al-Khattab","","12 AH/633 CE",Makkah/Medina,"Abu 'Abdur Rahman"
115,"Abu Lubaba bin 'Abdul Mundhir","","~36-40 AH",Medina,"Abu Lubaba"
116,"Abu Sufyan ibn Harb","63 BH/560 CE","~31 AH/650 CE",Makkah/Medinah,"Abu Sufyan"
117,"Abu Sufyan ibn al-Harith","","14 AH/636 CE or 20 AH",Makkah/Medina,"Abu Sufyan"
118,"Ja'far ibn Abi Sufyan","","~48 AH/671 CE",Makkah/Medina/Damascus,""
119,"Abu al-'Aas ibn al-Rabiah","","12 or 13 AH/634 CE (Dhul Hijja",Makkah/Medina,"Abu al-'Aas"
120,"Abu Hudhayfah ibn 'Utbah","","12 AH/633 CE",Makkah/Abyssinia/Medinah,""
121,"'Uthman bin Maz'un","","3 AH/624 CE",Makkah/Abyssinia/Medinah,"Abu al-Saib"
122,"'Abdullah bin Maz'un","~30 BH","30 AH/ 650 CE",Makkah/Abyssinia/Medinah,"Abu Muhammad"
123,"'Imran bin Husain","","53 AH/673 CE",Makkah/Medina/Kufa/Basra,"Abu Najeed"
124,"Zaynab bint Maz'un","","",Makkah/Medina,""
125,"Umm Waraqa bint 'Abdullah","","",Medina,""
126,Zinira,"","",Makkah/Medinah,""
127,"'Abdur Rahman ibn Shaddad","","",Medinah,""
128,"Qutham ibn al-'Abbas","","~57 AH",Makkah/Medina/Samarqand,"Abu Muhammad"
129,"Malik bin Mas'ud bin Badiy","","",Medinah,""
130,"Thawban bin Bujdud","","54 AH/663 CE",Makkah/Medina/as-Surat/Syria/Hims,"Abu 'Abdullah/'Abdur Rahman"
131,"'Abdullah ('Abd Rabb) bin Haq","","",Medinah,""
132,"Bashir ibn Sa'd","","12 AH/634 CE",Medina,"Abu Nu'man"
133,"'Ubaydallah bin al-'Abbas","2 BH/620 CE","66 AH/685 CE",Makkah/Medina,"Abu Muhammad"
134,"Amina bint 'Amr bin Harb","","",Makkah/Medinah,""
135,"Fadl ibn al-'Abbas","","18 AH/639 CE",Makkah/Medina,"Abu Muhammad"
136,"Umm Habib bint Jahsh","","44 AH/667 CE",Makkah/Medina,""
137,"Jariyya bint 'Amr bin Mu'mil","","","Makkah, Medinah",""
138,"Damra bin Ka'b bin 'Amr","","3 AH/625 CE",Medinah,""
139,"Habibah bint Ubayd-Allah","","",Abyssinia/Medinah,""
140,"'Abdullah bin Abi Umayyah","","8 AH/629 CE",Makkah/Medina,""
141,"Lubaba(Sughra) bint al-Harith","","",Makkah/Medina,""
142,"Ziyad bin Ka'b bin 'Amr","","",Medinah,""
143,"Muhammad bin Abu Hudhayfah ibn 'Utbah","","",Abyssinia/Makkah/Medinah/Egypt,"Abu Qasim"
144,"Hisham ibn al-'Aas","","12 AH/634 CE",Makkah/Abyssinia/Medina,"Abu Ma'shr"
145,"Hudhayfah ibn al-Yaman","","~37 AH/658 CE",Makkah/Medina/Kufa,"Abu 'Abdullah"
146,"Buzay'a bint Abi Kharija bin Aws","","",Medina,""
147,"Ikrimah ibn Abi Jahl","","13 AH/634 CE",Makkah/Yemen/Syria,""
148,"Nu'man bin Malik","","3 AH/625 CE",Medina,""
149,"Khabbab ibn al-Aratt","","37 AH",Makkah/Medina/Kufa,"Abu 'Abdullah, Abu Yahya"
150,"Khalid bin Sa`id ibn al-'As","","~14 AH/635 CE",Makkah/Abyssinia/Medinah/Syria,"Abu Sa'id"
151,"Shaddad ibn al-Haad","","",Makkah/Medina/Kufa,""
152,"Khunays ibn Hudhaifa","","3 AH/ 625 CE",Makkah/Abyssinia/Medinah,"Abu Hudhiafa"
153,"Mandwas bint 'Ubada b. Dulaim","","",Medinah,""
154,"Layla bint 'Ubada b. Dulaim","","",Medinah,""
155,"Fukayha bint 'Ubayd b. Dulaim","","",Medinah,""
156,"Umm Fadl Lubaba bint al-Harith","","~34 AH/655 CE",Makkah/Medina,"Umm Fadl"
157,"Sa'id bin Sa'd ibn 'Ubadah","","",Medinah/Syria,""
158,"Ishaq bin Sa'd ibn 'Ubadah","","",Medinah,""
159,"Malik bin al-Dukhsham","","",Medinah,""
160,"al-Furay'a bint Malik bin al-Dukhsham","","",Medinah,""
161,"Qurratu'l-'Ayn bint 'Ubada bin Nadla","","",Medinah,""
162,"al-Fa'rah bint Abi Sufyan","","",Makkah/Medina/Abyssinia,""
163,"al-Miqdad ibn al-Aswad","","33 AH/653 CE",Makkah/Medina/Abyssinia,"Abu Ma'bad"
164,"Talib ibn Abi Talib","","",Makkah/Medina,""
165,"'Aqeel ibn Abi Talib","33 BH/590 CE","~60 AH/680 CE",Makkah/Medina/Kufa,"Abu Yazid, Abu 'Isa"
166,"al-Mughira ibn Shu'ba","","50 AH/670 CE or 53 AH",Makkah/Medina/Basra/Kufa,"Abu 'Abdullah, Abu 'Isa"
167,"Muhammad Ibn Maslama","","~46 AH",Medina/Syria,"Abu 'Abdur Rahman"
168,"Muhammad ibn Abi Bakr","10 AH/631 CE","37 AH/658 CE or 83 AH",Medina/Kufa/Egypt,"Abu al-Qasim"
169,"'Abdullah ibn Shaddad","","~81 AH",Medinah/Kufa,"Abu al-Walid"
170,"Aus bin As-Samit","","~34 AH",Makkah/Medinah/Palestine/Syria,""
171,Salma,"","",Makkah/Medinah/Kufa,"Umm Rafi'"
172,"Qays ibn Sa'd ibn 'Ubadah","","~58 AH",Medinah/Kufa/Egypt,"Abu 'Abd al-Malik,Abu 'Abdulla"
173,"Naufal bin 'Abdullah bin Nadla","","3 AH/625 CE",Medinah,""
174,"Rabi'ah ibn al-Harith","~59 BH/564 CE","14 AH/636 CE",Makkah/Medinah,"Abu Arwa"
175,"'Amir ibn Abi Waqqas","","",Makkah/Abyssinia/Medina/Syria,"Abu 'Amr"
176,"'Amra bint Mas'ud #4","","5 AH/627 CE",Medinah,""
177,"Nawfal ibn al-Harith","","14 AH/636 CE",Makkah/Medina,"Abu al-Harith"
178,"Ghaziyya bint Sa'd ibn Khalifa","","",Medinah,""
179,"'Abdullah ibn al-Harith","","2 AH/624 CE",Makkah/Medina,""
180,"Salim Mawla Abu Hudhayfah","","12 AH/633 CE",Makkah/Medina,""
181,"'Umama bint Hamza","","",Makkah/Medina,"Umm al-Fadhal, Umm Warqa"
182,"Suhayb bin Sinan ar-Rumi","","38 AH or 73 AH",Makkah/Rome/Medina,"Abu Yahya, Abu Ghasan"
183,"'Ubaydah ibn al-Harith","","2 AH/624 CE",Makkah/Medinah,""
184,"Muhammad ibn Ja'far","","~36 AH","Abyssinia, Medinah, Kufa",""
