id,para_id,surah_id,verse_id,name_id
1,6,5,6,1
2,5,4,43,1
3,1,1,2,2
4,1,2,116,2
5,1,2,117,2
6,1,2,137,2
7,2,2,163,2
8,2,2,207,2
9,4,3,119,3
10,4,3,134,3
11,10,9,15,3
12,11,9,120,3
13,14,16,58,3
14,2,2,196,4
15,2,2,205,4
18,7,5,97,4
19,6,4,153,5
20,8,7,33,5
21,21,30,35,5
22,2,2,177,6
23,4,3,121,6
24,4,3,200,6
25,9,8,15,6
26,19,25,52,6
27,2,2,143,7
28,2,2,148,7
29,5,4,36,7
30,6,4,148,7
31,6,5,13,7
32,8,6,152,7
33,11,10,47,7
34,11,10,74,7
35,12,11,118,7
36,1,2,93,8
37,1,2,108,8
38,1,2,109,8
39,2,2,143,8
40,2,2,224,8
41,2,2,225,8
42,3,3,77,8
43,3,3,86,8
44,3,3,90,8
45,4,3,100,8
46,4,3,106,8
47,4,3,167,8
48,4,3,173,8
49,4,3,177,8
50,4,3,193,8
51,4,4,3,8
52,5,4,24,8
53,5,4,25,8
54,5,4,33,8
55,5,4,36,8
56,6,5,5,8
57,6,5,53,8
58,7,5,89,8
59,7,5,108,8
60,7,6,82,8
61,7,6,109,8
62,8,6,158,8
63,8,7,17,8
64,9,8,2,8
65,10,9,12,8
66,10,9,13,8
67,10,9,23,8
68,10,9,66,8
69,11,9,124,8
70,11,10,9,8
71,11,10,98,8
72,14,16,38,8
73,14,16,71,8
74,14,16,91,8
75,14,16,92,8
76,14,16,94,8
77,14,16,106,8
78,18,23,6,8
79,18,24,31,8
80,18,24,33,8
81,18,24,53,8
82,18,24,58,8
83,21,30,28,8
84,21,30,56,8
85,21,32,29,8
86,21,33,22,8
87,22,33,50,8
88,22,33,55,8
89,22,35,42,8
90,24,40,10,8
91,24,40,28,8
92,24,40,85,8
93,25,42,52,8
94,26,48,4,8
95,26,49,7,8
96,26,49,11,8
97,26,49,14,8
98,26,49,17,8
99,27,52,21,8
100,27,57,12,8
101,28,58,16,8
102,28,58,22,8
103,28,59,9,8
104,28,59,10,8
105,28,60,10,8
106,28,63,2,8
107,28,66,2,8
108,28,66,8,8
109,29,68,39,8
110,29,70,30,8
111,27,74,31,8
112,1,2,64,9
113,1,2,105,9
114,2,2,157,9
115,2,2,178,9
116,2,2,218,9
117,3,3,8,9
118,3,3,74,9
119,4,3,107,9
120,4,3,157,9
121,4,3,159,9
122,1,2,64,9
123,5,4,96,9
124,5,4,113,9
125,6,4,175,9
126,7,6,12,9
127,7,6,54,9
128,8,6,113,9
129,8,6,147,9
130,8,6,154,9
131,8,6,157,9
132,8,7,49,9
133,8,7,52,9
134,8,7,56,9
135,8,7,57,9
136,8,7,72,9
137,8,7,57,9
138,8,7,72,9
139,9,7,151,9
140,9,7,154,9
141,9,7,156,9
142,9,7,203,9
143,10,9,21,9
144,10,9,61,9
145,11,9,99,9
146,11,10,21,9
147,11,10,57,9
148,11,10,58,9
149,11,10,86,9
150,12,11,9,9
151,12,11,17,9
152,12,11,28,9
153,12,11,58,9
154,12,11,66,9
155,12,11,73,9
156,12,11,94,9
157,13,12,56,9
158,13,12,111,9
159,14,15,56,9
160,14,16,64,9
161,14,16,89,9
162,15,17,24,9
163,14,17,28,9
164,15,17,57,9
165,15,17,82,9
166,15,17,87,9
167,15,17,100,9
168,15,18,10,9
169,15,18,16,9
170,15,18,58,9
171,15,18,65,9
172,16,18,82,9
173,16,18,98,9
174,16,19,2,9
175,16,19,21,9
176,16,19,50,9
177,16,19,53,9
178,17,21,75,9
179,17,21,84,9
180,17,21,86,9
181,17,21,107,9
182,18,24,10,9
183,18,24,14,9
184,18,24,20,9
185,18,24,21,9
186,19,25,48,9
187,19,27,19,9
188,20,27,63,9
189,20,27,77,9
190,20,28,43,9
191,20,28,46,9
192,20,28,73,9
193,20,28,86,9
194,20,29,23,9
195,21,29,51,9
196,21,30,21,9
197,21,30,33,9
198,21,30,36,9
199,21,30,46,9
200,21,30,50,9
201,21,31,3,9
202,21,33,17,9
203,22,35,2,9
204,23,36,44,9
205,23,38,9,9
206,23,38,43,9
207,23,39,9,9
208,24,39,38,9
209,24,39,53,9
210,24,40,7,9
211,24,40,9,9
212,25,41,50,9
213,25,42,8,9
214,25,42,28,9
215,25,42,48,9
216,25,43,32,9
217,25,44,6,9
218,25,45,20,9
219,25,45,30,9
220,26,46,12,9
221,26,48,25,9
222,27,57,13,9
223,27,57,27,9
224,27,57,28,9
225,29,76,31,9
226,30,90,17,9
227,4,3,103,10
228,14,15,47,10
229,2,2,233,11
230,3,3,10,11
231,4,3,116,11
232,4,4,11,11
233,8,6,137,11
234,8,6,140,11
235,8,6,151,11
236,9,8,28,11
237,10,9,55,11
238,10,9,69,11
239,10,9,85,11
240,15,17,31,11
241,15,17,64,11
242,22,34,35,11
243,22,34,37,11
244,27,57,20,11
245,28,58,17,11
246,28,60,3,11
247,28,60,12,11
248,28,63,9,11
249,28,64,14,11
250,28,64,15,11
251,2,2,187,12
252,8,7,26,12
253,17,23,22,12
254,22,35,33,12
255,8,7,26,12
256,19,25,41,12
257,30,78,1,12
258,1,2,60,13
259,3,3,63,13
260,6,5,64,13
261,8,7,74,13
262,8,7,86,13
263,9,7,103,13
264,9,7,142,13
265,11,10,40,13
266,11,10,81,13
267,11,10,91,13
268,6,5,2,14
269,6,5,8,14
270,7,6,55,14
271,8,6,123,14
272,8,6,124,14
273,8,6,147,14
274,8,7,40,14
275,8,7,84,14
276,9,7,133,14
277,9,8,8,14
278,10,9,66,14
279,11,10,13,14
280,11,10,17,14
281,11,10,50,14
282,11,10,75,14
283,11,10,82,14
284,12,11,22,14
285,12,11,35,14
286,12,11,52,14
287,12,11,89,14
288,12,11,116,14
289,13,12,110,14
290,13,14,49,14
291,14,15,12,14
292,14,15,58,14
293,14,16,23,14
294,14,16,62,14
295,14,16,109,14
296,15,18,49,14
297,15,18,53,14
298,16,19,86,14
299,16,20,74,14
300,16,20,102,14
301,19,25,22,14
302,19,25,31,14
303,19,26,99,14
304,19,26,200,14
305,20,27,69,14
306,20,28,17,14
307,20,28,78,14
308,21,30,12,14
309,21,30,47,14
310,21,30,55,14
311,21,32,12,14
312,21,32,22,14
313,22,34,25,14
314,22,34,32,14
315,23,36,59,14
316,23,37,34,14
317,24,40,43,14
318,25,43,74,14
319,25,44,22,14
320,25,44,37,14
321,25,45,31,14
322,26,46,25,14
323,27,51,32,14
324,27,54,47,14
325,27,55,41,14
326,27,55,43,14
327,29,68,35,14
328,29,70,11,14
329,29,74,41,14
330,19,77,18,14
331,29,77,46,14
332,30,83,29,14
333,22,33,50,15
334,22,33,59,15
335,4,4,23,15
336,12,11,78,15
337,14,15,71,15
338,14,16,57,15
339,23,37,153,15
340,12,11,79,15
341,22,33,59,15
342,1,2,133,16
343,2,2,180,16
344,4,4,15,16
345,4,4,18,16
346,5,4,78,16
347,5,4,100,16
348,7,5,106,16
349,7,6,61,16
350,13,14,17,16
351,18,23,99,16
352,28,63,10,16
353,1,2,126,17
354,3,2,285,17
355,3,3,28,17
356,4,3,162,17
357,6,5,18,17
358,9,8,16,17
359,10,9,73,17
360,17,22,48,17
361,17,22,72,17
362,18,24,42,17
363,18,24,57,17
364,21,31,14,17
365,22,35,18,17
366,24,40,3,17
367,25,42,15,17
368,26,50,43,17
369,27,57,15,17
370,28,58,8,17
371,28,60,4,17
372,28,64,3,17
373,28,64,10,17
374,28,66,9,17
375,29,67,6,17
376,1,2,36,18
377,2,2,168,18
378,2,2,208,18
379,3,2,268,18
380,3,2,275,18
381,3,3,36,18
382,4,3,155,18
383,4,3,175,18
384,5,4,38,18
385,5,4,60,18
386,5,4,76,18
387,5,4,83,18
388,5,4,117,18
389,5,4,119,18
390,5,4,120,18
391,7,5,90,18
392,7,5,91,18
393,7,6,43,18
394,7,6,68,18
395,8,6,142,18
396,8,7,20,18
397,8,7,22,18
398,8,7,27,18
399,9,7,175,18
400,9,7,200,18
401,9,7,201,18
402,9,8,11,18
403,10,8,48,18
404,12,12,5,18
405,12,12,42,18
406,13,12,100,18
407,13,14,22,18
408,14,15,17,18
409,14,16,63,18
410,14,16,98,18
411,15,17,27,18
412,15,17,53,18
413,15,17,64,18
414,15,18,63,18
415,16,19,44,18
416,16,19,45,18
417,16,20,120,18
418,17,22,3,18
419,17,22,52,18
420,17,22,53,18
421,18,24,21,18
422,19,25,29,18
423,19,27,24,18
424,20,28,15,18
425,20,29,38,18
426,21,31,21,18
427,22,35,6,18
428,23,36,60,18
429,23,37,7,18
430,23,38,41,18
431,24,41,36,18
432,25,43,36,18
433,25,43,62,18
434,26,47,25,18
435,28,58,10,18
436,28,58,19,18
437,28,59,16,18
438,30,81,25,18
439,2,2,156,19
440,4,3,165,19
441,5,4,62,19
442,5,4,72,19
443,10,9,50,19
444,20,28,47,19
445,1,2,10,20
446,6,5,52,20
447,10,8,49,20
448,11,9,125,20
449,17,22,53,20
450,18,24,50,20
451,21,33,12,20
452,22,32,33,20
453,22,33,60,20
454,26,47,20,20
455,26,47,29,20
456,29,74,31,20
457,2,2,231,21
458,2,2,232,21
459,2,2,236,21
460,2,2,237,21
461,22,33,49,21
462,28,65,1,21
463,2,2,229,21
464,2,2,228,21
465,2,2,241,21
466,5,4,24,22
467,5,4,25,22
468,22,33,50,22
469,28,60,10,22
470,6,5,5,22
471,3,2,259,23
472,7,6,70,23
473,11,10,4,23
474,14,16,10,23
475,14,16,69,23
476,15,18,29,23
477,22,35,12,23
478,23,38,42,23
479,23,38,51,23
480,29,76,21,23
481,30,78,24,23
482,2,2,171,24
483,2,2,186,24
484,3,3,38,24
485,9,8,24,24
486,11,10,12,24
487,13,13,14,24
488,13,14,39,24
489,13,14,40,24
490,15,17,11,24
491,16,19,4,24
492,16,19,48,24
493,17,21,45,24
494,18,24,63,24
495,19,25,77,24
496,20,27,62,24
497,20,27,80,24
498,21,30,25,24
499,21,30,52,24
500,22,35,14,24
501,23,39,8,24
502,24,39,49,24
503,24,40,50,24
504,24,41,33,24
505,25,41,49,24
506,24,40,50,24
507,24,41,33,24
508,25,41,49,24
509,25,41,51,24
510,25,44,22,24
511,25,45,28,24
512,26,46,5,24
513,26,46,9,24
514,27,52,13,24
515,27,54,10,24
516,28,59,21,24
517,28,61,7,24
518,29,71,6,24
519,9,7,155,25
520,22,34,9,25
521,14,16,26,25
522,15,17,37,25
523,15,17,68,25
524,9,7,171,25
525,30,99,1,25
526,20,29,37,25
527,29,69,5,25
528,8,7,78,25
529,9,7,91,25
530,10,8,75,26
531,2,2,170,28
532,7,5,104,28
533,8,7,28,28
534,9,7,95,28
535,11,10,78,28
536,17,21,53,28
537,19,26,74,28
538,21,31,21,28
539,25,43,22,28
540,25,43,23,28
541,4,4,11,28
542,7,6,91,28
543,10,9,24,28
544,17,21,54,28
545,22,34,43,28
546,2,2,175,29
547,2,2,221,29
548,3,2,263,29
549,3,2,268,29
550,4,3,133,29
551,4,3,136,29
552,4,3,157,29
553,5,4,96,29
554,6,5,9,29
555,9,8,4,29
556,10,8,74,29
557,12,11,11,29
558,13,13,6,29
559,17,22,50,29
560,18,24,26,29
561,22,33,35,29
562,22,34,4,29
563,22,35,7,29
564,22,36,11,29
565,24,41,43,29
566,26,47,15,29
567,26,48,29,29
568,26,49,3,29
569,27,53,32,29
570,27,57,20,29
571,27,57,21,29
572,29,67,12,29
